filename, language, JavaScript, JSON, CSS, SCSS, JavaScript React, HTML, TypeScript React, TypeScript, comment, blank, total
src\page\evaluation\index.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
src\page\index\BottomBar\index.jsx, JavaScript React, 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
src\page\index\BottomBar\index.scss, SCSS, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 61
src\page\index\Home\Category\Category.jsx, JavaScript React, 0, 0, 0, 0, 44, 0, 0, 0, 5, 6, 55
src\page\index\Home\Category\Category.scss, SCSS, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
src\page\index\Home\ContentList\index.jsx, JavaScript React, 0, 0, 0, 0, 114, 0, 0, 0, 4, 6, 124
src\page\index\Home\ContentList\index.scss, SCSS, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 73
src\page\index\Home\Header\Header.jsx, JavaScript React, 0, 0, 0, 0, 13, 0, 0, 0, 4, 3, 20
src\page\index\Home\Header\Header.scss, SCSS, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
src\page\index\Home\Home.jsx, JavaScript React, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
src\page\index\Home\SearchBar\SearchBar.jsx, JavaScript React, 0, 0, 0, 0, 17, 0, 0, 0, 4, 3, 24
src\page\index\Home\SearchBar\SearchBar.scss, SCSS, 0, 0, 0, 71, 0, 0, 0, 0, 0, 1, 72
src\page\index\Main\Container.jsx, JavaScript React, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
src\page\index\Main\Main.jsx, JavaScript React, 0, 0, 0, 0, 54, 0, 0, 0, 0, 3, 57
src\page\index\Main\Main.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
src\page\index\My\index.jsx, JavaScript React, 0, 0, 0, 0, 54, 0, 0, 0, 4, 4, 62
src\page\index\My\index.scss, SCSS, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 37
src\page\index\Order\index.jsx, JavaScript React, 0, 0, 0, 0, 108, 0, 0, 0, 11, 11, 130
src\page\index\Order\index.scss, SCSS, 0, 0, 0, 104, 0, 0, 0, 0, 0, 2, 106
src\page\index\config.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
src\page\index\index.html, HTML, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
src\page\index\index.js, JavaScript, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
src\page\index\reducers\main.js, JavaScript, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
src\page\index\reducers\tabReducer.js, JavaScript, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
src\page\index\store.js, JavaScript, 19, 0, 0, 0, 0, 0, 0, 0, 2, 5, 26
src\static\rem.js, JavaScript, 9, 0, 0, 0, 0, 0, 0, 0, 1, 5, 15
src\static\reset.css, CSS, 0, 0, 45, 0, 0, 0, 0, 0, 1, 1, 47
webpack.config.build.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
webpack.config.dev.js, JavaScript, 103, 0, 0, 0, 0, 0, 0, 0, 5, 5, 113
Total, -, 315, 1317, 90, 898, 751, 62, 523, 12, 87, 209, 4264
